MED11	MCF2	SLC22A3	C4B	ROPN1B	EPHA3	CFD
DHX37	CXCL3	UHRF1	AOC1	E2F7	SSMEM1	CLDN14
MECOM	GPR37L1	KLF17	PLCD3	DNAI1	HIPK4	N4BP3
PTPN3	RENBP	CKAP2L	CD44	NAT2	MYT1L	ESRP1
NRCAM	NCKAP5	KCNJ13	ARRDC4	TBL1Y	ITGAM	TWIST2
PABPC3	DHRS3	BMP5	MYBPC1	EPHB1	MAP7D2	MEOX1
DUSP15	MEIS1	TBC1D4	DNAJC22	PLCH1	ITGAD	MMP3
FAM177B	CEBPD	AC025263.2	COLEC12	EFHC2	MPP4	COL2A1
TMEM177	EDNRB	FOLH1	SIX3	RIPOR3	MINDY4B	CILP2
FBN2	FAM107A	TNFRSF11B	UGCG	RLN2	ARL14EPL	PPP1R1A
SPRY4	ALCAM	E2F1	TMEM255A	KBTBD12	DLX2	PKD2L1
EHBP1	MNDA	PCDHB11	PRRX1	COL9A1	C9orf152	DLK1
DNLZ	LIPJ	BCHE	MYLK	MOB3B	HIST1H4E	AC078864.2
GATA3	CAMK4	MYO5C	GRAP	OR52I1	PROKR2	LRRC38
MET	TTPA	TMEM45A	ALDH1A2	OR3A3	PPAN	LCK
AC004593.3	RAB20	THRSP	ADAM33	HDAC9	R3HDML	CD70
AC131160.1	UAP1L1	FBXW12	SPINT4	ABHD12B	ALX4	SLC38A8
GBP5	RGL1	MCM5	C1QL4	PREX2	OXT	MUC12
GNG5	PLA2G4A	LDLRAD3	GINS3	PON3	SLC24A2	TCHH
FOSL1	SERPINB7	TTK	RET	ROR2	HIST1H2BE	AC104304.1
MYL12A	SLC35F1	HIP1	A4GALT	ADAMTS17	GRIK3	TMEM244
SLC4A11	TRAK1	LCTL	GUCY1A1	OR51I2	MS4A4E	ANKRD34B
SERPINH1	EPHX2	SMIM3	ANKK1	GLI3	DNAH10	FGF5
TBX2	WISP2	RASSF2	CFAP45	DMRTA2	AL031777.3	CLEC4G
GCSH	TTYH2	DISC1	FN1	IGF2BP2	LSMEM1	NR2E3
ZNF442	RWDD3	C6orf58	CRB2	CELSR1	AC090527.2	ADM5
BATF	ZNF521	CHD7	C4A	CYP51A1	CATSPERD	CLDN6
DAB2	SLC16A6	CHST7	SLC9C2	PDE1A	PTPRN2	ERFE
RBPMS2	ABCD2	SPC24	ST6GAL1	CHRFAM7A	AC007846.2	LBHD2
PUS1	RGS7	SLC7A13	SLC51B	HAPLN4	SNX22	HTR5A
CCR3	CSGALNACT1	EMILIN3	ID3	LRP4	BAAT	CA5A
GPNMB	PRSS35	AC093525.2	SCN1A	ATP1A2	SEMA3C	RBM24
ELL2	FBXL7	ATOH8	PSORS1C1	IRAK3	ZNF804A	KISS1
EMP1	THBS2	ZNF655	ABCA8	GC	PPARGC1B	OLFML2A
RTEL1	THRB	KNL1	PSTPIP1	TRIM29	EYA4	CCDC187
GPR158	AL139260.3	IL1B	OSBPL11	GPX3	BPIFC	CALY
TNFRSF10B	NEGR1	FOXD1	ACTN1	CST3	IQCA1L	SPINT1
MRPL36	SIAH1	PCDHB6	ENO4	PLEKHG4B	RPS6KA1	OVOL1
HES4	CCNB3	SMCO2	HRASLS5	ATP1A4	CCDC198	HBM
CD276	SCHIP1	IGFBP2	SPATA3	PEAR1	LVRN	AL035425.2
EMG1	COLGALT2	SUV39H1	DAW1	NXPE2	CCDC129	MICB
RBM47	SPRY2	PRMT8	SMIM5	SLC2A5	PLPPR5	GPR88
GPR157	F3	CENPI	FABP9	SGK3	NLRC4	NUPR2
P2RY11	NHSL1	PCDHB5	CDSN	CDHR1	ARFGEF3	PTCRA
MAK16	PHACTR3	C9orf131	BATF2	CCDC190	XDH	EREG
GPATCH4	ITPKB	TOP2A	ADGB	GOLGA8S	MATN3	FFAR4
C11orf96	SYCP2	GLYATL2	CDCP1	WDR86	FCAMR	GUCA1A
DDX28	RGMB	AC007906.2	CCL2	DLG2	ACTC1	AQP3
STRADB	ABCC11	KIAA0040	TGFB2	CLEC18C	NCF2	PAK6
METRNL	FIGN	JAG1	TCTEX1D1	FZD7	PTGDR2	VSNL1
MKNK2	EYA1	TONSL	PLP2	TCIM	FKBPL	MMP9
ATF5	CPVL	UST	PGAM2	CUBN	CLSTN2	NT5C1A
CDKN1A	ROR1	XRCC2	PLEKHS1	STOX2	AHR	POPDC3
TRIM52	THSD7A	HS3ST5	EMP3	LIMCH1	PI15	CCK
LACTB2	GCM2	PARM1	GBP1	SDK1	AC010615.4	FAM241A
BNC2	LDHD	GRIA1	CD74	SLC2A10	SULT6B1	CALCA
FOXP3	AMDHD2	SPINK8	ROBO2	CREB5	PASD1	DHRS2
IL1RL2	F2	BLOC1S5	DCLK1	HAPLN1	SLC35F4	GCHFR
TOMM40	ZNF713	SOX13	RSAD2	SEL1L2	SGCZ	CTXN1
DOCK6	FGF1	ELMO1	LRRIQ1	FMO3	AGR2	TRIM58
ASNS	MRO	SOX8	CD99	CRH	G6PC	NMRK2
CHERP	WFS1	SRGAP2C	PGGHG	TEC	FBN3	JSRP1
NOCT	MAOA	BCAN	HHATL	CNKSR3	CIART	FOXQ1
GBE1	DTNA	DLL1	DRC1	GPR1	LTB	IRF4
ZNF239	JDP2	ACRV1	SERPINI2	KIF26B	SERPINC1	FOXA3
EVA1A	LMO2	DPP6	CPXM2	MSMO1	CACNG1	RASL11B
VPS33A	GRK1	SLC19A3	COL21A1	IGFN1	GLRA4	PAX7
THOC6	CTNND2	MCTP1	PARP15	PDE9A	KCNQ3	RIPPLY3
ITGA3	C1GALT1C1L	GCNT2	AC010547.4	PLAGL1	TMCO2	CHAT
HMGB2	BRINP3	FMO3	TJP2	HMGCS1	SRARP	TCERG1L
GJB1	SRPX	TM4SF20	AC010255.3	C6orf10	AC025287.4	COL15A1
TMEM126A	ARHGAP42	C12orf50	GRAMD2A	DIAPH3	FRMPD4	TNNT1
IGFLR1	OR2L3	CDC45	CNTN1	TMIE	RNF165	TCF15
CPEB1	GPM6A	ANKRD10	NEBL	ARHGEF28	AP000781.2	PNPLA5
YARS	P2RY14	SLC5A9	GSN	AIM2	C1orf141	TTC22
AC008764.4	NR3C2	BRINP2	LAMA1	CCDC158	NLRP3	CFC1
NIFK	ZNRF3	ASCL1	CHST9	NKAIN3	FLNB	SERPINB9
RPP40	FGL1	NCAPH	CLDN18	AC013271.1	DUOXA1	BIK
COA4	NPL	FLRT2	APLN	CHSY3	RASL11A	ARC
ZNF697	SLCO1C1	RAB3IP	ZBTB7C	CAPN9	SLC1A7	INSC
MUS81	JUN	C21orf58	FRRS1	SVIL	GABRB3	DIO1
PCK2	RLN1	FAM72A	PRRT4	GULP1	C4orf54	TACR2
SLC25A39	HEPH	AC118553.2	RGS11	INPP1	SGSM1	TENT5B
ABI3	WBP1	RAD51AP2	OGFRL1	SLC15A2	ADGRG5	GIPR
WDR53	ASTN2	SDC3	TNS2	GRB14	HIST1H2AE	TMPRSS13
VIM	ADCY2	TCF19	FRMPD2	SLCO1C1	GLYATL3	GSG1
MARS	MAGI2	SMC2	TIPARP	LIPT2	OVGP1	IRF6
ANKHD1	FIBIN	GYPB	GBP3	TOX2	PTPN22	FKBP1B
PARS2	ACSS3	SRGAP2B	ITGB4	LRRN2	RUNDC3B	TLL1
AC068580.4	BMP3	AOX1	LMNTD1	MROH7-TTC4	AL136531.2	EXD1
GXYLT2	SLC5A3	SELENOV	SLCO1A2	CCDC175	CACNG2	TMSB10
ALG3	GPT2	AC092587.1	DAB2IP	C4BPA	ASIC2	KCNA5
C14orf119	PREX1	CCL27	RIN3	CNGA3	SLC17A8	KCNT1
IL1RAP	BBOX1	LGALS2	FHAD1	PSG9	SLC23A1	KRT18
CDKN3	ELOVL2	AIF1L	RARRES3	NXPE1	LEMD1	WSCD2
ELF4	AC106886.5	EFHD2	FADS3	SCEL	HIST4H4	PAQR9
PDCD2	LGI1	PLD1	ADIRF	CHADL	LDHC	CPLX1
MYH3	SLC9A3R1	KIF11	TRPM8	STARD4	CD22	KCNA4
FNDC4	NEDD9	DCC	CNTN5	NELL1	DUXB	TNNI3
DPH3	MYO10	APOLD1	STEAP3	HTRA1	COL12A1	IL2RB
NSMAF	KCNN2	ZNF492	C5AR1	NRG1	AL662899.1	TMEM215
SLC7A1	FHIT	ARHGAP11A	APOL6	TOX3	GGT1	EFNA3
FTL	ENOX1	NDST2	GOLGA8R	ZPBP	IL19	HES2
PRTG	PTH	NEURL1B	C7	PELI2	C2orf66	CHGB
ARHGAP24	PLD5	SHD	FRMPD3	TENM1	GJD4	GRB7
ADGRF3	NPAS3	KIF4A	PALM2-AKAP2	RANBP3L	MACO1	PRDM12
DDIT3	KCNA2	EQTN	AEBP1	NIPAL2	ALOX5AP	CCNA1
TIMM44	DTWD2	KCNIP1	MAP1LC3B2	DAPK2	AC024592.3	PRRT1
RIN1	CHPT1	BRCA2	PLEKHA5	ABTB1	ELFN2	MAS1
CLCF1	GADD45B	TMEM140	ARMH1	ST6GALNAC5	ZMAT4	ANGPTL5
IRAK2	ADRB1	NRM	GLIS3	GOLGA8K	EOMES	CNR2
TIGD6	MYOM1	ECT2	SMTNL1	MARCOL	CYP3A4	CPNE6
ADAMTS9	LIFR	DEPDC1B	CALN1	KIAA2012	UNC79	ALOXE3
CPNE8	NANOGNB	CXXC4	ZNF474	PZP	MAG	AC139491.7
S100A2	GNA14	CENPE	SPAG17	BHMT2	SLC5A5	HBQ1
ZNF625-ZNF20	CHL1	PIK3C2B	RASSF4	DEFB131B	MANSC4	CRYBA4
DDX51	ADGRG1	GINS1	PLEKHF1	TNFRSF25	SHANK2	CYGB
NFATC2	SNTA1	MTSS1	AL160269.1	SULT1C4	INMT	SEMA7A
GRIP1	NAV3	GPR18	B4GALT1	VEPH1	VIL1	PTGS2
MBD3L1	GEM	RUBCNL	SMR3B	TMPRSS11A	ANK3	NRIP3
GALNT13	IKBKE	CEP55	BCO1	ACTR3C	SLC35G5	SYT6
RHBDF1	RYR3	CBX2	CACNA1C	NOS1AP	TMPRSS7	ONECUT3
GAP43	BSPH1	CLEC18A	NFIL3	CNGA1	SLC17A6	THY1
CAMK2D	PJA2	MAEL	OSGIN2	GLT8D2	RBFOX1	CRYGD
TRIM6-TRIM34	ITPR2	CCDC172	KMO	CYP7B1	MGAM2	LAYN
TYW3	ADGRB3	SMAD6	AVIL	GARNL3	TMEM156	OTOP2
AIMP2	CACHD1	ATP13A5	ECM2	EMID1	C17orf98	LRP2
ANXA1	UGP2	CCNB2	PTPN20	STK39	HIGD2B	CLDN1
TMEM199	MMP26	SYCP1	IL6R	BCAS4	SRRM4	ADAP1
NEK10	STARD13	CYP27B1	SERPING1	FNDC5	SBK1	CDK5R2
MIEF2	ARSG	LUZP2	GCOM1	FGFBP3	MPIG6B	DES
EIF2S3B	IL2RA	FBLN7	AHCYL1	CCDC74A	ACSM2B	NWD2
GARS	FOXO1	CD96	SRY	ZWINT	CAPN11	TGM4
JAGN1	CDH1	PLXNC1	SELENBP1	FABP1	POU2AF1	CCDC63
MAL	AC008758.1	SAMD9	EMILIN1	CD302	EFCAB5	SLC5A8
FAM207A	PLTP	SNTG1	MRPS17	XKRX	AP002373.1	SOHLH1
SDSL	ARHGEF26	DACH1	SOCS3	TSHR	CTGF	ERVMER34-1
IFIT2	DBI	IL1RAPL1	MMRN2	SELENOP	CXCL13	GPR6
AARSD1	GNA12	AC092718.8	MMP28	IL12A	PRICKLE1	KCNK6
CHST11	RBMXL2	CCDC150	GBP2	PAPPA2	FCHO1	STAC2
CCDC86	DDO	RBM44	RAMP3	TNFRSF14	CMKLR1	SLC44A4
AARS	SCX	APOBR	WWTR1	COL4A6	RAD54L	HJV
AC010619.1	DACT1	C18orf63	GLIPR2	FSHR	PXDNL	AC138647.1
NUPR1	BAALC	MYRFL	PLCD1	TRIL	TEX48	C3orf84
BCCIP	TENT5D	KIF23	FAM20C	PLAG1	MAP3K21	GLP2R
RELB	AIFM3	KIFC1	TMEM232	NID1	TRMT9B	SMTNL2
PCLO	CNTNAP3	PTCHD4	STK17B	F2RL2	PLEKHD1	RPRML
ETV5	PCYT1B	ST18	SYTL4	HES5	CNTD1	TNIP3
RPS27L	BCHE	POU3F2	MARCH3	MMD2	NR4A2	TSTD1
APOL2	MERTK	NKD1	DPYSL3	AKNA	IL34	HEYL
ANKRD33B	MXD4	GABRP	IGSF5	VSTM5	TMEM40	COL13A1
TRMT2A	LUZP2	FANCI	TMEM26	SPACA5	ST3GAL6	SFTPC
TNFRSF10D	PDIA4	PABPC4L	SLC39A14	RASL10A	JPH2	PTH2
SLC7A2	ANKRD9	NXPE4	WWC1	PYGL	HOMER1	PRSS3
BHLHE41	NAT8L	DSEL	CA2	FAM171B	NKPD1	GLRA3
PRDM4	NRG3	FMNL3	C21orf62	SLC26A1	ZFR2	LGR5
BVES	SLC22A24	CCDC169-SOHLH2	LRRC55	TMEM221	LSMEM2	PLCH2
RBM3	KLHL41	AFAP1	PIFO	RGS22	FRAS1	CXCL6
PPP1R16A	ASAP1	GAS2L3	NTN1	CROT	AOAH	ASB5
LONP1	MTUS1	HYAL2	COPZ2	LCN12	SLC5A11	GAST
SH2D5	KLHL32	PROM1	FAM189A2	TBXA2R	TRABD2A	STMN2
DMRTA1	SLC5A12	ABCA13	NOD1	WNT5B	IGFBPL1	LY6E
EIF4A1	ACOT1	CCDC196	SLIT3	FEZF1	HIST1H2BG	KCNJ11
AL365205.1	WFIKKN1	PHLDB2	CRISPLD1	CNTN3	LNX1	C3orf52
GUCA1B	OLFML1	PLK4	FOSL2	SLC15A3	PCDHA1	COL9A3
GTPBP2	AC243967.1	EZH2	WDR49	PLD5	TINCR	AVPR1A
TEAD4	ID2	SRGAP2	RASAL3	PDLIM3	ACCSL	C9orf16
UTP14A	MEGF10	TMPO	BTBD19	CNMD	TGM3	ANKRD34C
PREB	AQP4	FOXM1	APOL3	TLR1	FGFR4	FAM83E
APOL1	CSRNP3	MN1	HLA-E	ZFHX4	CCR6	MCHR1
CASP1	IGSF11	ENPP3	JHY	LIPG	AKAIN1	FLT4
MRAP	ATP2B2	FEZF1	LPAR4	CLVS2	MAP3K9	LYPD3
URB2	MPC1	SLC35G1	ABCC4	TFAP2A	SHANK1	ARRDC2
ZNF784	PIGA	RAB7B	PRSS23	EMILIN3	AL589666.1	L1TD1
PUS3	NAV1	C17orf100	APOL4	LTBP1	AC104472.3	PITX3
TMX2	C3orf70	CYP2C8	TMC3	ADAMTS7	CNTNAP2	MIF
